"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","go","Nobel","band","bone","frequency","air","additional","Rappaport","visit","million","Lavie","Prof","cover","sustainability","na","und","hand","Dr","author","question"
"2","full","manage","limitation","blood","bond","bacteria","black","Medicine","website","total","Peretz","contact","dividend","pore","child","der","pulse","photo","supporter","answer"
"3","release","prize","America","vessel","wang","disorder","theory","eine","please","consideration","President","cathode","option","social","woman","die","Yanai","Assistant","corresponding","appear"
"4","press","Prize","powder","skin","symmetry","activate","deformation","Dyneema","wwwlblgov","repurchase","Haifa","email","accordance","positive","man","von","right","tel","coauthor","memory"
"5","list","found","fluorescence","crack","antenna","smoke","nanoribbon","panel","scienceenergygov","date","ceremony","anode","stock","gate","statement","fr","Li","Aviv","Martin","good"
"6","school","detailed","Mooc","load","plasmon","antibiotic","bandgap","USA","Electron","billion","Space","micron","ordinary","road","career","mit","Moshe","founder","Michael","write"
"7","competition","detail","impurity","calcium","co","Intel","nm","robotic","peptoid","percent","undergraduate","NERSC","investment","neuron","family","den","chirality","Viterbi","search","think"
"8","ranking","transaction","nanopore","fracture","mode","climate","superconductivity","zu","Haick","May","NASA","ll","February","Zuckerman","bear","das","leave","attract","Co","implant"
"9","rank","Harvey","unclassified","ceramic","pair","durch","nonlinear","protection","article","sale","Ben","protecte","March","skill","Segev","im","Shantou","Prof","fellow","ask"
"10","course","daily","Celsius","cheese","quasiparticle","cancerous","chiral","July","nanosheet","oil","master","nickel","planet","Polytechnique","age","des","teaching","ceo","Physics","primarily"
"11","dream","prizes","color","alloy","electromagnetic","action","red","zo","fold","approximately","thank","lipid","satellite","main","indium","werden","left","Microsoft","radical","matrix"
"12","teach","steel","conduction","shell","cavity","soil","scatter","Institut","integrated","Cas","th","Si","repurchase","negative","gallium","auf","scholarship","Biomedical","Chen","online"
"13","Alon","Repurchase","side","cloud","nucleus","attack","vibration","UK","Xu","Nanotechnology","Prof","Paul","comprise","cole","jewish","dem","true","Andrew","pines","comment"
"14","formula","Shechtman","EBITDA","repair","centers","sport","green","patent","copolymer","Berrie","earn","Scientific","September","Sivan","window","ist","anything","Amit","Alexander","Proceedings"
"15","respect","distinguished","root","taste","noise","movement","topological","venture","NCEM","estimate","Architecture","minimize","constitute","media","old","sich","cage","credit","security","mystery"
"16","board","Laureate","strand","isotope","Crommie","designer","summarize","EU","click","volume","town","sphere","star","party","table","auch","fill","entrepreneur","Italy","Board"
"17","return","laureate","comparison","lung","diode","sense","precision","Rambam","Hossam","Russell","Weizmann","compromise","complementary","relationship","titanium","ein","um","President","policy","publication"
"18","week","NYU","cool","toughness","valley","receptor","possibility","Robotics","Prendergast","net","Dean","attach","November","learning","recognition","JOANNEUM","femtosecond","Boaz","SLAC","virus"
"19","medal","meeting","Dna","bind","Nanoscale","video","calculation","Academy","Yu","dollar","welcome","mask","photograph","traffic","sulfide","aus","Ka","president","France","extracellular"
"20","category","fibril","white","organ","behave","kill","cuprate","Graz","printer","consumption","female","tube","August","implementation","tin","Kavli","Education","Ron","Thomas","managing"
