"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","und","million","go","Prize","steel","volume","additional","coauthor","bone","Prof","school","wwwlblgov","found","visit","Assistant","side","right","wind","sugar","bacteria","band","manage","pair","Lavie","cover","author","city","France","social","wang"
"2","der","total","release","na","Dyneema","positive","detail","peptoid","matrix","President","competition","supporter","Nobel","website","doctoral","clear","leave","nanorod","hot","click","architect","percent","plane","Peretz","dividend","corresponding","blood","woman","media","plasmon"
"3","die","consideration","full","Dr","green","antenna","detailed","gallium","fracture","photo","phonon","visit","prize","please","century","big","Rappaport","atmosphere","platinum","mouse","San","behave","fluid","honor","option","co","NSRCs","anode","theory","pulse"
"4","von","date","press","Harvey","fiber","negative","daily","Quantum","ceramic","credit","begin","gate","perovskite","scienceenergygov","Viterbi","North","Medicine","Boaz","fast","antibiotic","intermediate","thermoelectric","bond","ceremony","accordance","Nanotechnology","vessel","female","Environmental","frequency"
"5","fr","repurchase","School","Mr","color","vitamin","question","mission","eye","spokesperson","participate","Cas","symmetry","Electron","Stanford","fusion","hand","waste","peptide","tube","Conference","employ","dollar","alumnus","May","rank","choose","history","brighter","mode"
"6","mit","venture","Alex","Dan","Haick","dot","answer","nanosheet","muscle","Architecture","age","microbe","prizes","cheese","Ministry","configuration","safety","noise","techniques","organism","polymeric","unclassified","nonlinear","President","stock","Nano","Haifa","USA","third","weak"
"7","den","Ltd","read","Li","red","adjust","transaction","Martin","implant","town","later","pore","invention","Ciechanover","tell","whole","translate","relation","yeast","inhibit","onto","topological","code","dean","April","Yang","Mayor","frontier","memory","cavity"
"8","das","comment","Microsoft","General","alloy","Mooc","Scientific","select","spread","proud","think","opposite","coupling","Aaron","master","serious","satellite","ratio","label","cancerous","conduction","manganese","chiral","opening","repurchase","online","air","man","valley","movement"
"9","im","September","Google","board","neutron","incorporate","language","consortium","deformation","photograph","summer","Doudna","skill","July","lecturer","remain","Parkinson","Xu","bind","therapy","biomaterial","sulfur","Laboratories","attend","ordinary","Russell","healing","brand","post","Feng"
"10","des","sale","centers","distinguished","aluminum","EBITDA","NERSC","module","cement","former","hear","genome","Abstract","al","MIT","train","breath","enjoy","exactly","expression","Dna","eight","skyrmion","welcome","March","ranking","Bloomberg","aid","paradigm","analytical"
"11","eine","investment","ecosystem","teaching","smoke","Robotics","Repurchase","indium","Celsius","Rambam","return","nickel","laureate","NCEM","roll","lung","diseases","loss","fluorescence","NYU","hospital","exciton","sharp","Shoham","February","constitute","Olympic","Japan","soil","Groves"
"12","werden","actual","nanoribbon","recipient","blue","Kaplan","ask","zough","game","president","Einstein","cobalt","methane","texture","Adelis","reactor","Ruth","Golany","melt","infection","medium","potassium","unusual","Zisapel","November","Jerusalem","pollution","adhesive","neuron","Si"
"13","auf","ceo","Nanoscale","chair","Rd","footprint","climate","Graz","load","Cohen","formula","radical","biggest","awards","Andrew","engine","proper","limitation","square","biomolecule","selectivity","ten","Sandia","Mechanical","October","Aviv","sport","Russia","involvement","boron"
"14","dem","Hasman","periodic","meeting","toughness","quarter","video","zur","mineral","spokesman","never","Crispr","Rothschild","honorary","anything","difference","quant","cultural","harvest","BSc","display","actively","strain","Alon","June","tel","Hong","College","intelligence","heterostructure"
"15","email","December","Communications","Education","equipment","animal","plus","classical","crack","Hospital","everyone","functionality","signature","Blavatnik","Ziv","commercially","cholesterol","lipid","cool","Javey","millimeter","monolayer","Brookhaven","name","August","appear","success","stay","approve","femtosecond"
"16","ist","Erez","statement","DI","chirality","Somos","otherwise","Prendergast","collagen","Dr","get","oxidation","superlattice","training","mathematical","baby","star","pacemaker","net","version","achievements","extra","cloud","wife","conference","Liu","sleep","dark","station","template"
"17","sich","Sealantis","Louie","Physics","corrosion","feed","defects","ongoing","repair","Doron","professional","concentrate","personalize","elect","Yoav","kidney","breast","copolymer","seconds","tooth","Boston","mature","phenomenon","founde","orbital","Berrie","job","Italy","ground","slightly"
"18","auch","anticipate","learning","Yanai","Polytechnique","powder","emergence","article","suitable","planning","event","CRISPR","William","UK","scholarship","case","Bruce","movie","six","manner","Fermi","tungsten","computation","Yehuda","th","list","transplant","primarily","thanks","circle"
"19","ein","Board","title","winner","nm","sign","view","applied","nerve","Sustainability","mentor","salt","belief","Churchill","tremendous","inspiration","um","parachute","spectra","organ","encod","fully","gradient","event","compensation","Kavli","representative","ISU","defense","bn"
"20","JOANNEUM","bound","nanocomposite","Shantou","amorphous","cadmium","Force","knnen","tough","Global","want","responsibility","spherical","fewer","Ka","mother","printer","exploration","heating","coa","lock","biosensor","sense","Zohar","final","Academy","succeed","mind","implication","hexagonal"
