"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"1","go","bond","USA","prize","million","visit","gate","Dr","Nanotechnology","ceo","band","surgery","und","Li","supporter","manage","online","author","cover","Prof","antenna","language","September","percent","board","contact","na","man","th","hand","Lavie","question","fiber","additional","century","blood"
"2","release","pair","Alon","found","total","website","behave","Medicine","investment","Education","UK","train","der","nanosheet","Ben","wwwlblgov","appear","co","dividend","Prize","re","Hebrew","relation","green","satellite","photo","Academy","woman","Haifa","leave","Peretz","answer","Dyneema","detail","click","billion"
"3","full","possibility","surgical","Nobel","consideration","please","plane","Rappaport","Russell","teaching","proud","drop","die","idea","scholarship","visit","Co","corresponding","option","President","crack","engine","Assistant","oil","decide","frequency","media","NERSC","list","tel","symmetry","matrix","perovskite","detailed","cathode","vessel"
"4","press","bilayer","lecturer","im","date","scienceenergygov","junction","cavity","star","Yanai","silver","Robotics","von","fact","choose","topic","pore","title","accordance","Harvey","climate","hour","tube","disorder","extract","email","social","urban","Robert","Aviv","President","implant","topological","daily","anode","third"
"5","atmosphere","superconductivity","Mechanical","auch","repurchase","xenon","boron","nm","financial","participate","impurity","route","fr","North","always","Olympic","Chang","Thomas","May","dean","spokesperson","smoke","printing","color","difficult","phonon","Haick","autonomous","Architecture","right","segment","biomaterial","protection","transaction","link","chemotherapy"
"6","powder","Mooc","Germany","prizes","skin","unclassified","pulse","Electron","negative","teach","sustainability","dielectric","mit","orbit","talk","eventually","coauthor","Lee","stock","Environmental","microstructure","master","Mayor","red","isotope","antibiotic","office","Scientific","town","Cas","fail","nanorod","cheese","Repurchase","st","patent"
"7","nanoribbon","vapor","procedure","pioneer","platinum","proposal","billionth","Schulich","comprise","Intel","brighter","photoelectron","den","reality","land","Mars","Al","cancerous","repurchase","distinguished","photograph","earn","player","shell","magnet","ranking","concrete","academia","name","inspire","dream","abundant","tip","volume","memory","sound"
"8","actually","poor","Netherlands","Technologies","approximately","save","planet","emphasize","constitute","opening","sun","root","das","consumption","Zisapel","actual","wang","activate","August","Laureate","ceramic","begin","Bloomberg","blue","SLAC","robot","steel","road","Harvard","interdisciplinary","virus","degradation","fluid","align","article","side"
"9","coa","tc","NASA","Mr","neutron","Doudna","stack","NCEM","complementary","event","attention","child","des","flat","panel","Kavli","Michael","Feng","February","civil","bone","welcome","Boaz","al","Zheng","protecte","UV","pollution","San","genome","Dna","precision","texture","sell","ll","consume"
"10","hydrogel","signature","Italy","wurde","December","donor","ten","Rambam","Berrie","Microsoft","collaborative","introduce","eine","creativity","doctorate","Laboratories","Liu","Communications","March","winner","happen","camera","ecosystem","war","nickel","bacteria","Proceedings","jewish","Quantum","centers","receptor","distance","choice","job","perhaps","nerve"
"11","military","titanium","France","mystery","conclude","remark","lifetime","Erez","Rd","attend","valley","everyone","werden","rule","hear","stripe","Crommie","Yang","April","Nobel","fracture","Somos","module","Zuckermann","column","motion","ton","safety","Committee","Crispr","ball","species","India","sometimes","paint","ReWalk"
"12","medium","mask","Blavatnik","meeting","June","defense","mirror","Organic","positive","school","Agency","invasive","auf","consider","honorary","melt","nanopore","primarily","gallium","french","fusion","label","Golany","attack","Governors","vibration","accessible","decision","Polytechnique","Nanoscale","code","copolymer","diamond","venture","era","yeast"
"13","BizTEC","ring","discussion","General","Sealantis","cage","linear","Ilan","cash","Google","World","quickly","dem","America","ask","sport","Chen","movement","November","laureate","toughness","pollutant","revolutionize","oxidation","news","soil","October","traffic","city","safe","respectively","rich","Hong","registration","compromise","nutrient"
"14","pacemaker","cuprate","error","frontier","sale","pines","cold","Cohen","expansion","Chief","Uri","height","ist","practice","Zohar","Sandia","ultrasound","tooth","ordinary","elect","Ritchie","bachelor","install","sugar","thing","micron","week","CA","Association","NYU","sign","methane","Institutes","section","severe","equivalent"
"15","Saykally","package","Canada","manager","adhesive","photosynthesis","excess","cloud","Hasman","chairman","Ziv","Physic","sich","Ka","fibril","alter","David","processes","Andrew","Physics","Somorjai","Studies","tremendous","viable","cobalt","pulse","Hossam","abroad","MIT","challenging","speech","extracellular","skyrmion","adjust","transplant","microorganism"
"16","Titan","agent","Force","trend","nuclei","copy","femtosecond","Ruth","view","educational","consortium","get","ein","revolutionary","criterion","Brookhaven","Prendergast","corrosion","Viterbi","founde","millimeter","phd","success","stabilize","Honorary","infection","waste","High","cole","age","loss","reactive","beverage","indeed","discipline","balance"
"17","optically","scheme","Stephen","durch","proton","producing","complexity","unter","Hawking","speak","Sijbesma","limitation","JOANNEUM","broader","session","differ","heterostructure","nanocomposite","compensation","Machluf","potassium","finally","society","fold","good","attachment","PNAS","microelectronic","lecture","Zuckerman","box","rotation","conductor","March","Hospital","collision"
"18","friend","coil","Keasling","Weiz","acquisition","bacteria","trap","dislocation","httpwwwlblgov","teacher","medal","egg","aus","wire","fascinating","fit","round","Beamline","manganese","Computer","expensive","air","thank","random","content","act","hot","agency","fellow","CRISPR","Emeritus","sphere","coate","arm","identity","reactor"
"19","aware","split","Air","representative","healing","nucleic","define","minor","final","founder","Sivan","Shen","zu","circle","deputy","series","Yu","pr","noise","students","want","offering","vom","commercially","transmit","spokesman","Aaron","physician","College","feed","something","adsorption","ballistic","sufficient","vivo","night"
"20","width","coli","Japan","chinese","nucleus","fullerene","thickness","ACS","prediction","recipient","Defense","vanadium","wird","giant","agricultural","Max","Peter","resist","Einstein","Asst","cadmium","history","message","cement","fly","eye","metabolism","Space","rank","Langone","inaugurate","calcium","display","sale","Roy","wound"
