"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","NTNU","policy","agree","die","ph","gold","wt","Nb","open","right","fish","publish","robot","million","attention","anode","public","award","wind","ndash"
"2","student","privacy","click","und","chip","recycling","AlO","mo","window","brain","food","journal","app","cent","friendly","sodium","partner","fire","turbine","minus"
"3","strategy","microhardness","button","der","separate","Prof","Zn","alpha","Dr","ultrasound","young","online","look","fund","environmentally","nanosheet","polarization","th","na","MPa"
"4","analytical","quantum","cookie","sinter","strip","recycle","porous","beta","fish","body","answer","nature","get","programme","bending","zinc","woman","post","engine","texture"
"5","department","channel","plane","rare","drilling","Au","Sn","mm","senior","human","know","review","economy","Council","cross","nm","suffer","Tsukuba","vehicle","gt"
"6","ready","strengthening","amplitude","milling","poor","calcium","slag","Ti","salmon","live","risk","Tokyo","soon","NOK","grow","cathode","impedance","progress","aircraft","lt"
"7","behind","HAZ","static","earth","susceptibility","detail","foam","gamma","head","patient","perhaps","article","snow","EU","attract","discharge","institute","sufferer","renewable","sminus"
"8","software","stamping","HCl","ball","cement","flux","solder","bainite","perovskite","bacteria","lay","variable","ski","cm","MC","St","successful","appear","car","inclusion"
"9","cooperation","plusmn","validate","acid","stream","vanadium","pt","bond","professor","blood","species","american","responsibility","funding","gain","irradiation","Statoil","error","module","mold"
"10","kilometre","mathematical","HEAs","sintering","drop","discuss","bone","lamellar","sea","tumour","something","peening","people","tonne","dendritic","catalyst","discussion","station","install","recrystallize"
"11","Empa","welded","clearly","magnet","aluminium","waste","pore","Zr","Electron","cancer","talk","spring","satellite","billion","bead","sunlight","operate","information","offshore","sigma"
"12","idea","diagram","distortion","nanowire","trend","pair","Ce","TiAl","catch","want","worker","superconductor","outside","government","section","substance","decade","July","Swiss","billet"
"13","cultural","ECAP","gear","von","natural","mine","inclusion","twin","lice","home","asphalt","version","challenge","centre","geometry","UV","true","se","hour","mu"
"14","Brightlands","top","dimple","phosphorus","extremely","recycl","glass","bonding","farm","news","pipe","Physics","employee","investment","slow","candidate","particularly","City","applications","rotation"
"15","manager","meanwhile","examination","coa","clay","soil","argon","NiTi","Doi","drug","inspection","superconductivity","owner","country","trip","Olav","private","concrete","store","anneal"
"16","collaborate","criterion","Corrosion","impurity","mineral","penetration","molten","AISI","colour","day","riser","publication","always","Sea","summarize","Hospital","cluster","New","six","graphite"
"17","USA","ductile","entropy","binder","methane","relaxation","TiO","eutectic","Professor","information","bacterial","Chemical","digital","smart","transportation","fail","vessel","website","eight","pin"
"18","chain","void","hence","polymer","great","scrap","ag","columnar","Microscopy","people","health","law","weather","Sintef","joining","centere","past","Conference","grid","ultrasonic"
"19","ago","slight","quantify","leaching","intergranular","tribological","FeO","aging","signal","message","tasnks","applied","everyone","largest","panel","photocatalyst","general","finance","November","modulus"
"20","ground","instability","Ma","assembly","black","previous","tin","pd","dye","believe","people","vibration","management","kj","expand","spite","longer","extensive","european","electromagnetic"
